YEARS	CO2_RCP26	CO2_RCP45	CO2_RCP6	CO2_RCP85
1923.00	304.13	304.13	304.13	304.13
1924.00	304.53	304.53	304.53	304.53
1925.00	304.98	304.98	304.98	304.98
1926.00	305.40	305.40	305.40	305.40
1927.00	305.83	305.83	305.83	305.83
1928.00	306.30	306.30	306.30	306.30
1929.00	306.78	306.78	306.78	306.78
1930.00	307.23	307.23	307.23	307.23
1931.00	307.70	307.70	307.70	307.70
1932.00	308.18	308.18	308.18	308.18
1933.00	308.60	308.60	308.60	308.60
1934.00	309.00	309.00	309.00	309.00
1935.00	309.40	309.40	309.40	309.40
1936.00	309.75	309.75	309.75	309.75
1937.00	310.00	310.00	310.00	310.00
1938.00	310.18	310.18	310.18	310.18
1939.00	310.30	310.30	310.30	310.30
1940.00	310.38	310.38	310.38	310.38
1941.00	310.38	310.38	310.38	310.38
1942.00	310.30	310.30	310.30	310.30
1943.00	310.20	310.20	310.20	310.20
1944.00	310.13	310.13	310.13	310.13
1945.00	310.10	310.10	310.10	310.10
1946.00	310.13	310.13	310.13	310.13
1947.00	310.20	310.20	310.20	310.20
1948.00	310.33	310.33	310.33	310.33
1949.00	310.50	310.50	310.50	310.50
1950.00	310.75	310.75	310.75	310.75
1951.00	311.10	311.10	311.10	311.10
1952.00	311.50	311.50	311.50	311.50
1953.00	311.93	311.93	311.93	311.93
1954.00	312.43	312.43	312.43	312.43
1955.00	313.00	313.00	313.00	313.00
1956.00	313.60	313.60	313.60	313.60
1957.00	314.23	314.23	314.23	314.23
1958.00	314.85	314.85	314.85	314.85
1959.00	315.50	315.50	315.50	315.50
1960.00	316.27	316.27	316.27	316.27
1961.00	317.08	317.08	317.08	317.08
1962.00	317.80	317.80	317.80	317.80
1963.00	318.40	318.40	318.40	318.40
1964.00	318.93	318.93	318.93	318.93
1965.00	319.65	319.65	319.65	319.65
1966.00	320.65	320.65	320.65	320.65
1967.00	321.61	321.61	321.61	321.61
1968.00	322.64	322.64	322.64	322.64
1969.00	323.90	323.90	323.90	323.90
1970.00	324.99	324.99	324.99	324.99
1971.00	325.86	325.86	325.86	325.86
1972.00	327.14	327.14	327.14	327.14
1973.00	328.68	328.68	328.68	328.68
1974.00	329.74	329.74	329.74	329.74
1975.00	330.59	330.59	330.59	330.59
1976.00	331.75	331.75	331.75	331.75
1977.00	333.27	333.27	333.27	333.27
1978.00	334.85	334.85	334.85	334.85
1979.00	336.53	336.53	336.53	336.53
1980.00	338.36	338.36	338.36	338.36
